id,name,dob,position,initials,nation
264,Jeffrey Schlupp,1992/12/23,LB/LM,JS,Ghana
265,Jermain Defoe,1982/10/07,ST,JD,England
266,Jesse Lingard,1992/12/15,MF,JL,England
267,João Moutinho,1986/09/08,MF,JM,Portugal
268,Joe Bennett,1990/03/28,Defender,JB,England
269,Joe Bryan,1993/09/17,Defender,JB,England
270,Joe Daniel Tupper,1997/11/15,GK,JDT,England
271,Joe Gomez,1997/05/23,CB,JG,England
272,Joe Hart,1987/04/19,GK,JH,England
273,Joe Powell,1998/10/30,ST,JP,England
274,Joe Ralls,1993/10/13,MF,JR,England
275,Joel Coleman,1995/09/26,GK,JC,England
276,Joel Matip,1991/08/08,CB,JM,Cameroon
277,Joel Ward,1989/10/29,RB,JW,England
278,Johann Berg Guðmunds­son,1990/10/27,MF,JBG,Iceland
279,John Ruddy,1986/10/24,GK,JR,England
280,John Stones,1994/05/28,CB,JS,England
281,Jon Gorenc Stankovič,1996/01/14,Defender,JGS,Slovenia
282,Jonas Lössl,1989/02/01,GK,JL,Denmark
283,Jonathan Hogg,1988/12/06,MF,JH,England
284,Jonathan Walters,1983/09/20,ST,JW,Republic of Ireland
285,Jonjo Shelvey,1992/02/27,MF,JS,England
286,Jonjoe Kenny,1997/03/15,RB,JK,England
287,Jonny,1994/03/03,LB,J,Spain
288,Jonny Evans,1988/01/03,CB,JE,Northern Ireland
289,Jordan Ayew,1991/09/11,ST,JA,Ghana
290,Jordan Henderson,1990/06/17,MF,JH,England
291,Jordan Pickford,1994/03/07,GK,JP,England
292,Jordon Ibe,1995/12/08,MF,JI,England
293,Jorginho,1991/12/20,MF,J,Italy
294,José Holebas,1984/06/27,Defender,JH,Greece
295,Jose Izquierdo,1992/07/07,ST,JI,Colombia
296,Joselu,1990/03/27,ST,J,Spain
297,Joseph Willock,1999/08/20,MF,JW,England
298,Josh Benson,1999/12/05,MF,JB,England
299,Josh Knight,1997/09/07,Defender,JK,England
300,Josh Murphy,1995/02/24,ST,JM,England
301,Joshua King,1992/01/15,ST,JK,Norway
302,Joshua Sims,1997/03/28,MF,JS,England
303,Juan Foyth,1998/01/12,CB,JF,Argentina
304,Juan Mata,1988/04/28,MF,JM,Spain
305,Julián Speroni,1979/05/18,GK,JS,Argentina
306,Juninho Bacuna,1997/08/07,MF,JB,Netherlands
307,Junior Stanislas,1989/11/26,MF,JS,England
308,Jürgen Locadia,1993/11/07,ST,JL,Netherlands
309,Kadeem Harris,1993/06/08,MF,KH,England
310,Karl Darlow,1990/10/08,GK,KD,England
311,Karlan Ahearne-Grant,1997/12/19,ST,KA,England
312,Kasper Schmeichel,1986/11/05,GK,KS,Denmark
313,Kayne Ramsey,2000/10/10,MF,KR,England
314,Kazaiah Sterling,1998/11/09,ST,KS,England
315,Kelechi Iheanacho,1996/10/03,ST,KI,Nigeria
316,Kelland Watts,1999/11/03,MF,KW,England
317,Ken Sema,1993/09/30,MF,KS,Sweden
318,Kenneth Dahrup Zohorè,1994/01/31,ST,KDZ,Denmark
319,Kepa Arrizabalaga,1994/10/03,GK,KA,Spain
320,Kevin De Bruyne,1991/06/28,MF,KDB,Belgium
321,Kevin Long,1990/08/18,Defender,KL,Republic of Ireland
322,Kevin McDonald,1988/11/04,MF,KM,Scotland
323,Ki Sung-yueng,1989/01/24,MF,KS,South Korea
324,Kieran Dowell,1997/10/10,MF,KD,England
325,Kieran Trippier,1990/09/19,RB,KT,England
326,Kiko Femenía,1991/02/02,MF,KF,Spain
327,Konstantinos Mavropanos,1997/12/11,CB,KM,Greece
328,Kortney Hause,1995/07/16,CB,KH,England
329,Kurt Zouma,1994/10/27,CB,KZ,France
330,Kyle Taylor,1999/08/28,MF,KT,England
331,Kyle Walker,1990/05/28,RB,KW,England
332,Kyle Walker-Peters,1997/04/13,RB,KW,England
333,Laurent Depoitre,1988/12/07,ST,LD,Belgium
334,Laurent Koscielny,1985/09/10,CB,LK,France
335,Lazar Marković,1994/03/02,MF,LM,Serbia
336,Leander Dendoncker,1995/04/15,MF,LD,Belgium
337,Leandro Bacuna,1991/08/21,MF,LB,Curaçao
338,Lee Grant,1983/01/27,GK,LG,England
339,Lee Peltier,1986/12/11,RB,LP,England
340,Leighton Baines,1984/12/11,LB,LB,England
341,Leon Balogun,1988/06/28,Defender,LB,Nigeria
342,Leonardo Bonatini Lohner Maia,1994/03/28,ST,LBL,Brazil
343,Leroy Sané,1996/01/11,MF,LS,Germany
344,Lewis Cass,2000/02/27,Defender,LC,England
345,Lewis Cook,1997/02/03,MF,LC,England
346,Lewis Dunk,1991/11/21,CB,LD,England
347,Loïc Damour,1991/01/08,MF,LD,France
348,Loris Karius,1993/06/22,GK,LK,Germany
349,Luca de la Torre,1998/05/23,MF,LDL,USA
350,Lucas Digne,1993/07/20,LB,LD,France
351,Lucas Moura,1992/08/13,MF,LM,Brazil
352,Lucas Perez,1988/09/10,ST,LP,Spain
353,Lucas Torreira,1996/02/11,MF,LT,Uruguay
