id,name,dob,position,initials,nation
464,Richarlison,1997/05/10,ST,R,Brazil
465,Riyad Mahrez,1991/02/21,MF,RM,Algeria
466,Rob Holding,1995/09/20,CB,RH,England
467,Robbie Brady,1992/01/14,MF,RB,Republic of Ireland
468,Robert Kenedy Nunes do Nascimento,1996/02/08,MF,RKN,Brazil
469,Robert Snodgrass,1987/09/07,MF,RS,Scotland
470,Roberto Firmino,1991/10/02,ST,RF,Brazil
471,Roberto Pereyra,1991/01/07,ST,RP,Argentina
472,Romain Saïss,1990/03/26,MF,RS,Morocco
473,Romelu Lukaku,1993/05/13,ST,RL,Belgium
474,Rondon,1989/09/16,ST,R,Venezuela
475,Ross Barkley,1993/12/05,MF,RB,England
476,Ruben Loftus-Cheek,1996/01/23,MF,RL,England
477,Rúben Neves,1997/03/13,MF,RN,Portugal
478,Ruben Vinagre,1999/04/09,LB,RV,Portugal
479,Rui Patrício,1988/02/15,GK,RP,Portugal
480,Ryan Bennett,1990/03/06,Defender,RB,England
481,Ryan Bertrand,1989/08/05,LB,RB,England
482,Ryan Fraser,1994/02/24,MF,RF,Scotland
483,Ryan Fredericks,1992/10/10,MF,RF,England
484,Ryan Giles,2000/01/26,MF,RG,England
485,Ryan Guno Babel,1986/12/19,ST,RGB,Netherlands
486,Ryan Schofield,1999/12/11,GK,RS,England
487,Ryan Sessegnon,2000/05/18,LB,RS,England
488,Sadio Mané,1992/04/10,ST,SM,Senegal
489,Sam Gallagher,1995/09/15,ST,SG,England
490,Sam Surridge,1998/07/28,ST,SS,England
491,Sam Vokes,1989/10/21,ST,SV,Wales
492,Sam Woods,1998/09/11,Defender,SW,England
493,Samir Nasri,1987/06/26,MF,SN,France
494,Sandro Ramirez,1995/07/09,ST,SR,Spain
495,Scott Dann,1987/02/14,CB,SD,England
496,Scott McTominay,1996/12/08,MF,SM,England
497,Sead Kolašinac,1993/06/20,LB,SK,Bosnia and Herzegovina
498,Séamus Coleman,1988/10/11,RB,SC,Republic of Ireland
499,Sean Longstaff,1997/10/30,MF,SL,England
500,Sean Morrison,1991/01/08,Defender,SM,England
501,Sebastian Prödl,1987/06/21,Defender,SP,Austria
502,Serge Aurier,1992/12/24,RB,SA,Ivory Coast
503,Sergio Aguero,1988/06/02,ST,SA,Argentina
504,Sergio Rico,1993/09/01,GK,SR,Spain
505,Sergio Romero,1987/02/22,GK,SR,Argentina
506,Shane Duffy,1992/01/01,Defender,SD,Republic of Ireland
507,Shane Long,1987/01/22,ST,SL,Republic of Ireland
508,Shinji Okazaki,1986/04/16,ST,SO,Japan
509,Shkodran Mustafi,1992/04/17,CB,SM,Germany
510,Simon Francis,1985/02/16,Defender,SF,England
511,Simon Mignolet,1988/03/06,GK,SM,Belgium
512,Sokratis Papastathopoulos,1988/06/09,CB,SP,Greece
513,Solly March,1994/07/20,MF,SM,England
514,Souleymane Bamba,1985/01/13,Defender,SB,Ivory Coast
515,Stefan Marius Johansen,1991/01/08,MF,SMJ,Norway
516,Stefano Okaka,1989/08/09,ST,SO,Italy
517,Stephan Lichtsteiner,1984/01/16,RB,SL,Switzerland
518,Stephen Ward,1985/08/20,Defender,SW,Republic of Ireland
519,Steve Cook,1991/04/19,Defender,SC,England
520,Steve Mounié,1994/09/29,ST,SM,Benin
521,Steven Davis,1985/01/01,MF,SD,Northern Ireland
522,Steven Defour,1988/04/15,MF,SD,Belgium
523,Stuart Armstrong,1992/03/30,MF,SA,Scotland
524,Sullay Kaikai,1995/08/26,MF,SK,England
525,Tahith Chong,1999/12/04,ST,TC,Netherlands
526,Terence Kongolo,1994/02/14,Defender,TK,Netherlands
527,Theo Walcott,1989/03/16,ST,TW,England
